"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Extension","","","",0,*,"","","","","BCI EvaluationTopic Extension","The base class, independent of context for evaluations (measurements, tests, or questions) and a value containing the result (answer). The subject of a finding can be the entire patient, or an entity such as a location body structure, intervention, or condition. Things observed about the subject can include social and behavioral factors, subjective and objective observations, and assessments.","","","","","","","","","",,,,,"",,,,"Extension",0,1,"ele-1
","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}choice-1:finding-EvaluationTopic-extension SHALL have either extension('quantity') or extension('codeableconcept') or extension('string') or extension('boolean') or extension('range') or extension('ratio') or extension('attachment') or extension('time') or extension('datetime') or extension('timeperiod') or extension('integerquantity') {( extension('quantity').url | extension('codeableconcept').url | extension('string').url | extension('boolean').url | extension('range').url | extension('ratio').url | extension('attachment').url | extension('time').url | extension('datetime').url | extension('timeperiod').url | extension('integerquantity').url ).distinct().count() <= 1}"
"Extension.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Extension.extension","","","",0,*,"","","","Extension
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"",""
"Extension.extension","quantity","","",0,1,"","","","Extension {http://hl7.org/fhir/us/bci/StructureDefinition/shr-core-Quantity-extension}
","","A quantity with units, whose value may be bounded from above or below, as defined in FHIR","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","codeableconcept","","",0,1,"","","","Extension {http://hl7.org/fhir/us/bci/StructureDefinition/shr-core-CodeableConcept-extension}
","","A set of codes drawn from different coding systems, representing the same concept.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","string","","",0,1,"","","","Extension {http://hl7.org/fhir/us/bci/StructureDefinition/primitive-string-extension}
","","The base class, independent of context for evaluations (measurements, tests, or questions) and a value containing the result (answer). The subject of a finding can be the entire patient, or an entity such as a location body structure, intervention, or condition. Things observed about the subject can include social and behavioral factors, subjective and objective observations, and assessments.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","boolean","","",0,1,"","","","Extension {http://hl7.org/fhir/us/bci/StructureDefinition/primitive-boolean-extension}
","","The base class, independent of context for evaluations (measurements, tests, or questions) and a value containing the result (answer). The subject of a finding can be the entire patient, or an entity such as a location body structure, intervention, or condition. Things observed about the subject can include social and behavioral factors, subjective and objective observations, and assessments.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","range","","",0,1,"","","","Extension {http://hl7.org/fhir/us/bci/StructureDefinition/shr-core-Range-extension}
","","An interval defined by a quantitative upper and/or lower bound. One of the two bounds must be specified, and the lower bound must be less than the upper bound. When Quantities are specified, the units of measure must be the same.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","ratio","","",0,1,"","","","Extension {http://hl7.org/fhir/us/bci/StructureDefinition/shr-core-Ratio-extension}
","","A unit of measurement for the quotient of the amount of one entity to another.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","attachment","","",0,1,"","","","Extension {http://hl7.org/fhir/us/bci/StructureDefinition/shr-core-Attachment-extension}
","","A file that contains audio, video, image, or similar content.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","time","","",0,1,"","","","Extension {http://hl7.org/fhir/us/bci/StructureDefinition/primitive-time-extension}
","","The base class, independent of context for evaluations (measurements, tests, or questions) and a value containing the result (answer). The subject of a finding can be the entire patient, or an entity such as a location body structure, intervention, or condition. Things observed about the subject can include social and behavioral factors, subjective and objective observations, and assessments.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","datetime","","",0,1,"","","","Extension {http://hl7.org/fhir/us/bci/StructureDefinition/primitive-dateTime-extension}
","","The base class, independent of context for evaluations (measurements, tests, or questions) and a value containing the result (answer). The subject of a finding can be the entire patient, or an entity such as a location body structure, intervention, or condition. Things observed about the subject can include social and behavioral factors, subjective and objective observations, and assessments.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","timeperiod","","",0,1,"","","","Extension {http://hl7.org/fhir/us/bci/StructureDefinition/shr-core-TimePeriod-extension}
","","A period of time defined by a start and end time, date, or year. If the start element is missing, the start of the period is not known. If the end element is missing, it means that the period is ongoing, or the start may be in the past, and the end date in the future, which means that period is expected/planned to end at the specified time. The end value includes any matching date/time. For example, the period 2011-05-23 to 2011-05-27 includes all the times from the start of the 23rd May through to the end of the 27th of May.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","integerquantity","","",0,1,"","","","Extension {http://hl7.org/fhir/us/bci/StructureDefinition/shr-core-IntegerQuantity-extension}
","","A Quantity that is an integer.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","topiccode","","",1,1,"","","","Extension {http://hl7.org/fhir/us/bci/StructureDefinition/shr-base-TopicCode-extension}
","","A code that identifies the topic of a clinical statement.  In the case of a Finding, the TopicCode represents the type of observable, question, examination, or test.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","findingstatus","","",0,1,"","","","Extension {http://hl7.org/fhir/us/bci/StructureDefinition/finding-FindingStatus-extension}
","","Indicates whether the finding is preliminary, amended, final, etc..","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","evidence","","",0,*,"","","","Extension {http://hl7.org/fhir/us/bci/StructureDefinition/finding-Evidence-extension}
","","A symptom, observation, or other item, for example, a radiology report, that serves as evidence for the current assessment.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","category","","",0,*,"","","","Extension {http://hl7.org/fhir/us/bci/StructureDefinition/shr-core-Category-extension}
","","A class or division of people or things having particular shared characteristics","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
